lambda,gamma,dice,precision,recall
0.3,1.5,0.7566728118459364,0.9618434835772725,0.6499279474271681
0.3,2.0,0.7951931331712329,0.9585870247216032,0.7171745536905781
0.3,2.5,0.8387162796736397,0.8091239897435659,0.897157668280887
0.5,1.5,0.8458433709905434,0.9114480524969069,0.8105010330762422
0.5,2.0,0.8518599697056324,0.8891027689821109,0.8426720965838865
0.5,2.5,0.8101676594795499,0.9212238105351759,0.7646652831741167
0.7,1.5,0.7474884733856173,0.9560109313444461,0.6563335133754664
0.7,2.0,0.8558139402580976,0.849611231671124,0.8815166557908924
0.7,2.5,0.8310753539974708,0.8688187997516218,0.822378579006832
