epoch,train_loss,val_loss,dice,precision,recall,iou
1,0.1007933749142709,0.1312083856924729,0.8212235569953918,0.8961493986517031,0.8181210685316891,0.7463913217820333
2,0.0699600559320717,0.1201086754054316,0.8360804319381714,0.8277025130811222,0.8983560701905909,0.7613510909297041
3,0.0621530954411986,0.1127486976057564,0.846177875995636,0.9026351231699182,0.8448322914869237,0.7763099550994061
4,0.0550539990461461,0.1141711988679664,0.8446762561798096,0.8965893875760937,0.8445340489518066,0.7730838287130766
5,0.0494112221826478,0.1095647174569085,0.8509505391120911,0.8998255723546733,0.8517921391573497,0.7804847015860531
6,0.0448822436563864,0.1150782016333167,0.8441663980484009,0.9043103561872065,0.8414623115339878,0.7727630358650283
7,0.0411816856961634,0.1103664753492023,0.8502079248428345,0.8885352381124455,0.859890079989047,0.7793949712661618
8,0.0380540701117121,0.109331699413101,0.8521392941474915,0.8918720675850802,0.8589317660925849,0.7812129890964755
9,0.035743390265624,0.1106572044113419,0.850299060344696,0.9054275151756042,0.8448380262738072,0.7789000192565954
10,0.0336784105135233,0.1098556960200964,0.8516867160797119,0.8930643448386902,0.8578662075299816,0.780612544145914
11,0.031973188899252,0.1086203475330535,0.8531172871589661,0.8924550278996058,0.8587966744350627,0.7817540302118524
12,0.0304230053170625,0.1114593874865185,0.8491647839546204,0.8859407243521366,0.8601443921519056,0.7766023704430569
13,0.0293013053203706,0.1086994837864015,0.853739321231842,0.8953028103684186,0.8579560188663743,0.7828058755272014
14,0.0282208286195845,0.1118546032447596,0.8494020104408264,0.8917534833662076,0.8547355927611523,0.7776870912190443
15,0.027243305302409,0.1095100455026509,0.8521809577941895,0.8979428376352787,0.8519694477422074,0.7808477473667926
16,0.0262534990379869,0.1100259086812272,0.8516016602516174,0.8925443480021311,0.8559416699337142,0.779436961157841
17,0.025536893751689,0.1105445613451445,0.8514266014099121,0.8892280397814779,0.8567818760538127,0.7796339368179968
18,0.0230365929168693,0.1077644025815764,0.8554788827896118,0.8919937742742435,0.8591380110817768,0.7828074076748238
19,0.0219127393553566,0.1074810862175674,0.8556908369064331,0.8935863637562261,0.8568963564783738,0.7831954732299296
20,0.021140984994335,0.1073804107506327,0.8558748364448547,0.8959418154844209,0.8565287995845807,0.7834654189296459
21,0.01966373767732296,0.1067694911206538,0.8568483591079712,0.8916536453844218,0.8604653013866846,0.7844364331392221
22,0.018988165993180702,0.10691290878575824,0.8566327691078186,0.8934606477028652,0.8600225914618739,0.7843457491261042
23,0.018588381104319603,0.10695847622258095,0.8566169738769531,0.89140546940431,0.8608824963175525,0.7840240102721294
24,0.018298387398906223,0.10729860689350931,0.8563866019248962,0.8929161195052864,0.8587044819397964,0.783659004328448
25,0.017961484915441386,0.10774687925809878,0.855751633644104,0.8943528530956878,0.8572219928308026,0.7829951448568716
26,0.017764600600710688,0.10774062371995972,0.855922520160675,0.8903066804421372,0.8590401324439236,0.7829620220796263
27,0.017632778778038975,0.10811584894055916,0.8558863401412964,0.8913426474120472,0.8587461112481932,0.7829822093986109
28,0.01728128579289725,0.10786602395050508,0.8559590578079224,0.8917502013162493,0.858784183468865,0.783088188329038
29,0.017089004086952367,0.10781367391724186,0.8559188842773438,0.8897331200569424,0.8606319013979289,0.7830340610639189
30,0.017009286463751272,0.10791808930261594,0.8557652831077576,0.8884863689349327,0.861060993254557,0.7827055170481155
